,feature_names,human_readable
105,eye_closure__std_standard_closure_speed_mean,Standard deviation (over eye closures) mean closure velocities during blinks normalized by expected velocity~\cite{Schleicher2008}
106,eye_closure__median_standard_closure_speed_mean,Median  (over eye closures) of mean closure velocities during blinks normalized by expected velocity~\cite{Schleicher2008}
107,eye_closure__skew_standard_closure_speed_mean,Skewness  (over eye closures) of mean closure velocities during blinks normalized by expected velocity~\cite{Schleicher2008}
108,eye_closure__mean_closure_speed_mean,Mean (over eye closures) of mean closure velocities during blinks~\cite{Schleicher2008}
109,saccade_texas_kurtosis_tail_pr_inconsist,Kurtosis  (over saccades) of tail during saccades~\cite{rigas2018study}
110,saccade_texas_std_vel_profile_mean_r,Standard deviation (over saccades) Mean (over fixations) of velocity~\cite{rigas2018study}
111,eye_closure__median_blink_duration,Median  (over eye closures) deviation of blink durations from start to maximum reopening velocity~\cite{Schleicher2008}
112,fixation_texas_mean_AccProfKu_H,Mean (over fixations) of kurtosis values of horizontal acceleration~\cite{rigas2018study}
113,eye_closure__mean_standard_blink_duration,Mean (over eye closures) of blink durations from start to maximum reopening velocity normalized by&\\& expected duration~\cite{Schleicher2008}
114,saccade__mean_saccadic_duration_mean,Mean (over saccades) mean durations~\cite{rigas2018study}
115,eye_closure__median_+AVR,Median (over eye closures) of ratio of the maximum amplitude to maximum velocity of eyelid movement for the closing phase~\cite{wilkinson2013the}
116,eye_closure__mean_-AVR,Mean (over eye closures) of ratio of the maximum amplitude to maximum velocity of eyelid movement for the reopening phase~\cite{wilkinson2013the}
117,fixation_texas_mean_VelProfMd_H,Mean (over fixations) of medians of horizontal velocity~\cite{rigas2018study}
118,fixation_texas_kurtosis_AccProfKu_V,Kurtosis (over fixations) of kurtosis values of vertical acceleration~\cite{rigas2018study}
119,fixation_texas_median_VelProfSd_V,Median (over fixations) standard deviations of vertical velocity~\cite{rigas2018study}
120,saccade_texas_kurtosis_centroid_v,Kurtosis (over saccades) vertical positions~\cite{rigas2018study}
121,eye_closure__skew_closure_speed_mean,Skewness (over eye closures) of mean closure velocities during blink normalized by expected velocity~\cite{Schleicher2008}
122,eye_closure__mean_blink_duration,Mean (over eye closures) of blink durations from start to maximum reopening velocity~\cite{Schleicher2008}
123,eye_closure__median_standard_blink_duration,Median (over eye closures) of blink durations from start to maximum reopening velocity~\cite{Schleicher2008}
124,eye_closure__kurtosis_blink_intervals,Kurtosis (over eye closures) of blink durations from start to maximum reopening velocity~\cite{Schleicher2008}
125,fixation_texas_std_PosCentroid_V,Standard deviation (over fixations) vertical position~\cite{rigas2018study}
126,saccade_texas_std_centroid_h,Standard deviation (over saccades) of horizontal position~\cite{rigas2018study}
127,fixation_texas_mean_duration,Mean (over fixations) duration~\cite{rigas2018study}
128,saccade_texas_mean_centroid_h,Mean (over saccades) horizontal position~\cite{rigas2018study}
129,saccade__mean_saccadic_velocity_max,Mean (over saccades) of maxmimum velocity ~\cite{rigas2018study}
130,fixation_texas_std_DriftFitLn_Slope_H,Standard deviation (over fixations) horizontal slope of drift~\cite{rigas2018study}
131,saccade_texas_mean_amp_v,Mean for vertical saccadic amplitude~\cite{rigas2018study}
132,fixation_texas_std_PosCentroid_H,Standard deviation (over fixations) horizontal position~\cite{rigas2018study}
133,saccade_texas_mean_pos_trace_sd_h,Mean (over saccades) of deviation of horizontal position~\cite{rigas2018study}
134,saccade__mean_saccadic_velocity_mean,Mean (over saccades) of mean velocity~\cite{rigas2018study}
135,saccade_texas_mean_vel_profile_std_h,Mean (over saccades) of deviations of horizontal velocity~\cite{rigas2018study}
136,saccade_texas_mean_vel_profile_std_r,Mean (over saccades) of deviations of velocity ~\cite{rigas2018study}
137,saccade_texas_mean_duration,Mean (over saccades) duration~\cite{rigas2018study}
138,saccade_texas_mean_num_vel_loc_min,Mean (over saccades) of velocity local minima~\cite{rigas2018study}
139,saccade_texas_median_peak_vel_v,Median (over saccades) vertical peak velocity~\cite{rigas2018study}
140,saccade__mean_standard_saccadic_duration_mean,Mean (over saccades) standard mean duration~\cite{rigas2018study}
141,saccade_texas_std_centroid_v,Standard deviation (over saccades) vertical position~\cite{rigas2018study}
142,saccade_texas_mean_amp_h,Mean (over saccades) amplitude~\cite{rigas2018study}
143,saccade_texas_mean_peak_vel_r,Mean (over saccades) peak velocity~\cite{rigas2018study}
144,fixation_texas_mean_DriftDisp_R,Mean (over fixations) drift displacement~\cite{rigas2018study}
145,fixation_texas_mean_DriftDisp_H,Mean (over fixations) horizontal drift displacement~\cite{rigas2018study}
146,fixation_texas_median_DriftDisp_H,Median (over fixations) horizontal drift displacement~\cite{rigas2018study}
147,fixation_texas_median_DriftDisp_R,Median (over fixations) drift displacement~\cite{rigas2018study}
148,fixation_texas_std_DriftDisp_H,Standard deviation (over fixations) horizontal drift displacement~\cite{rigas2018study}
149,saccade_texas_median_amp_v,Median (over saccades) vertical amplitude~\cite{rigas2018study}
150,saccade_texas_median_pos_trace_sd_h,Median (over saccades) of deviation of horizontal position~\cite{rigas2018study}
151,fixation_texas_std_duration,Standard deviaton (over fixations) duration~\cite{rigas2018study}
152,fixation_texas_median_duration,Median (over fixations) duration~\cite{rigas2018study}
153,saccade_texas_median_vel_profile_std_h,Median (over saccades) of deviations of horizontal velocity~\cite{rigas2018study}
154,saccade_texas_median_peak_vel_r,Median (over saccades) peak velocity~\cite{rigas2018study}
155,saccade_texas_median_peak_vel_duration_ratio_r,Median (over saccades) vertical peak velocitiy~\cite{rigas2018study}
156,saccade_texas_median_amp_r,Median (over saccades) amplitude~\cite{rigas2018study}
157,saccade_texas_median_amp_duration_ratio_r,Median (over saccades) amplitude duration ratio~\cite{rigas2018study}
158,,
159,,
160,,
161,,
162,,
